"","razonSocial","nomComuna","place","direccion","idCust","weekday","serviceTime","COD","Name","p10","p15","p20","p25","p30","p35","p40"
"342","SALVI HERMANOS LTDA.","Providencia",2,"MANUEL MONTT 844",86,1,90,"PR","86_PR_1",2358.80500063725,2510.01003877608,2584.67505789352,2726.06738397766,2790.35446628701,3056.79234345734,3238.54159639329
"343","SANHUEZA VALLADARES CARLOS","Santiago",1,"HUERFANOS 1294 OF 21",259,3,110,"SA","259_SA_3",2364.41419348371,2514.75656085276,2586.8835179007,2726.42722975147,2802.50743066885,3101.47286839145,3263.5117513742
"344","SANTANDER GESTION DE RECAUD. Y COB. LTDA","Santiago",1,"MONEDA 856 PISO 5 OF. 502",260,3,120,"SA","260_SA_3",2366.49653732359,2515.77889728515,2597.44905144644,2745.14943089925,2803.71828266462,3124.07184817789,3269.97653230109
"345","SEC.REG.M.DE BIENES NAC.P.S.TIT.","Santiago",1,"JUAN ANTONIO RIOS 6 P.5 DECRET",261,3,90,"SA","261_SA_3",2372.38669106933,2524.52957578415,2600.30137482589,2747.51278987136,2808.54996225996,3155.06949365372,3285.70224682868
"346","SEC.REG.MINST.DE TRASP.Y TELECOM","Santiago",1,"AMUNATEGUI 139 PISO 9",87,1,60,"SA","87_SA_1",2381.90938107953,2534.22302005605,2603.2786229619,2762.45549405692,2812.00065345533,3157.82007966533,3341.21027988393
"347","SEC.REG.MINST.DE TRASP.Y TELECOM","Santiago",1,"AMUNATEGUI 139 PISO 2 BIBLIOTECA",262,3,120,"SA","262_SA_3",2381.90938107953,2534.22302005605,2603.2786229619,2762.45549405692,2812.00065345533,3157.82007966533,3341.21027988393
"348","SEGURIDAD Y  TELECOMUNICACIONES S.A.","Las Condes",3,"LAS CONDES 7300",88,1,120,"LC","88_LC_1",2382.84868102887,2536.2307285813,2615.33379428272,2768.57659033502,2834.16168727804,3160.03778368622,3390.26635934069
"349","SEGUROS SECURITY PREVISION GENERALES S.A","Las Condes",3,"HENDAYA 60 PISO 6 OF.601",328,4,120,"LC","328_LC_4",2385.75527263903,2539.65274345535,2624.20597505387,2769.52981554306,2861.7833387292,3167.13876256098,3404.25161825315
"350","SEGUROS SECURITY PREVISION GENERALES S.A","Las Condes",3,"HENDAYA 60 P7",329,4,90,"LC","329_LC_4",2385.75527263903,2539.65274345535,2624.20597505387,2769.52981554306,2861.7833387292,3167.13876256098,3404.25161825315
"351","SEGUROS VIDA SECURITY PREVISION S.A.","Las Condes",3,"HENDAYA 60 PISO 7 CASA MATRIZ",182,2,60,"LC","182_LC_2",2392.29250634371,2542.79333087168,2629.69229886492,2775.98667316389,2903.56826937526,3188.37195415925,3422.74057427838
"352","SEGURY CORP S.A.","óu“oa",5,"SUCRE 1828",183,2,20,"NU","183_NU_2",2393.89954109259,2550.3421639403,2632.23442621698,2779.78313048132,2912.34676174266,3188.46561204807,3428.14136780777
"353","SENADO DE LA REPUBLICA","Santiago",1,"SAN MARTIN 32 P.2",263,3,60,"SA","263_SA_3",2399.74186391559,2555.45103134082,2654.47248576719,2805.94492031688,2970.34235240865,3199.67804586871,3449.69920485863
"354","SENADO DE LA REPUBLICA","Santiago",1,"SAN MARTIN 32 P.2",184,2,15,"SA","184_SA_2",2399.74186391559,2555.45103134082,2654.47248576719,2805.94492031688,2970.34235240865,3199.67804586871,3449.69920485863
"355","SER.DE RG.CIVIL E IDENTIFICACION","Santiago",1,"CATEDRAL 1772 PISO 6 PRESUPUESTO",185,2,35,"SA","185_SA_2",2400.85002978447,2557.53514354234,2678.03397698883,2832.89861428951,3013.47055694292,3223.88686462153,3467.53933419303
"356","SER.DE RG.CIVIL E IDENTIFICACION","Santiago",1,"CATEDRAL 1772 P.4",331,4,160,"SA","331_SA_4",2400.85002978447,2557.53514354234,2678.03397698883,2832.89861428951,3013.47055694292,3223.88686462153,3467.53933419303
"357","SER.DE RG.CIVIL E IDENTIFICACION","Santiago",1,"HUERFANOS 1570 P3 DIR REGIONAL",330,4,120,"SA","330_SA_4",2400.85002978447,2557.53514354234,2678.03397698883,2832.89861428951,3013.47055694292,3223.88686462153,3467.53933419303
"358","SERV. INTEGRALES DE COMERCIO EXTERIOR LT","Santiago",1,"MONJITAS 392 P 11 OF 1103",264,3,65,"SA","264_SA_3",2408.94905209479,2563.6887096086,2687.71289358614,2844.60189009008,3031.24256822418,3235.81352691872,3494.71144857273
"359","SERV.DE CORRESPONDENCIA ENVIA LTDA","Providencia",2,"CALLE BARROS ERRAZURIZ 1954 OF.1602",186,2,120,"PR","186_PR_2",2409.73168479598,2566.99678142582,2688.11690456439,2858.82078191585,3031.87612118093,3269.00898004247,3497.54728644088
"360","SERVICIO DE IMPUESTOS INTERNOS","Santiago",1,"TEATINOS 120 SUBTERRANEO",187,2,210,"SA","187_SA_2",2415.74073299194,2582.10810223965,2722.0840325357,2877.01312270121,3034.36566656945,3316.03613192865,3498.46923153105
"361","SERVICIOS DE ADMIN. PREVISIONALES S.A.","Providencia",2,"MARCHANT PEREIRA 10  P.16",89,1,70,"PR","89_PR_1",2424.32499136632,2602.2458767259,2727.42679987156,2888.90736876851,3051.82711797956,3321.60814053604,3519.83101207785
"362","SERVICIOS DE CONTROL DE CREDITOS S.A.","Santiago",1,"MONJITAS 550 P2 OF 7",90,1,90,"SA","90_SA_1",2424.94616851674,2626.62065525576,2733.42555070846,2891.55239265689,3106.1365319481,3381.74491366254,3536.56011668824
"363","SERVICIOS DE INGENIERIA LTDA.","Las Condes",3,"AV VITACURA  2771 OF 1101 B",391,5,75,"LC","391_LC_5",2428.25089334867,2629.02536820698,2734.23170131674,2909.3677412399,3109.86486452811,3393.66998907672,3624.1440864355
"364","SERVICIOS GENERALES LTDA.","Providencia",2,"AV. RICARDO LYON 1177 CENTRAL",393,5,150,"PR","393_PR_5",2428.61605313855,2632.97271614567,2738.83640173121,2924.68024237849,3111.18749225805,3420.05477270436,3628.86111064389
"365","SERVICIOS GENERALES LTDA.","Providencia",2,"LADISLAO ERRAZURIZ 2121",91,1,120,"PR","91_PR_1",2428.61605313855,2632.97271614567,2738.83640173121,2924.68024237849,3111.18749225805,3420.05477270436,3628.86111064389
"366","SERVICIOS GENERALES LTDA.","Providencia",2,"AV. RICARDO LYON 1177 CENTRO D.",392,5,35,"PR","392_PR_5",2428.61605313855,2632.97271614567,2738.83640173121,2924.68024237849,3111.18749225805,3420.05477270436,3628.86111064389
"367","SERVICIOS GRAFICOS JCV S.A.","Vitacura",4,"VITACURA 2653 B",188,2,100,"VI","188_VI_2",2435.85944867504,2633.07315631182,2741.43929704843,2974.48563450252,3136.6633985527,3421.81590679438,3648.48831525394
"368","SHELL CHILE S.A.C.E.I.","Providencia",2,"CARLOS ANTUNEZ 2490",332,4,120,"PR","332_PR_4",2435.86933643408,2643.65377759309,2789.49438175678,3024.03644081589,3137.25944370005,3436.70993819059,3652.50741902804
"369","SIEMENS S.A.","Providencia",2,"AV HOLANDA 64",265,3,100,"PR","265_PR_3",2469.00874558512,2648.98913665094,2790.07342092866,3049.82396309461,3152.24748013409,3452.70860984802,3673.6883305236
"370","SOC FORESTAL LOS ESTEROS LTDA","Santiago",1,"COMPANIA 1068  OF 607",92,1,60,"SA","92_SA_1",2472.87347617362,2677.20490891552,2797.88558580365,3058.96349130451,3155.21333583902,3494.59025064567,3690.28941496924
"371","SOC.AGRIC.ABOUGHAZALEH HNOS.LTDA.","Vitacura",4,"AV LUIS  PASTEUR  5842  OF. 400",333,4,90,"VI","333_VI_4",2491.14163623498,2679.91728844639,2810.05108936162,3062.43590357225,3167.36057784073,3500.90622632978,3694.86329616932
"372","SOC.INMOBILIARIA SAN CRISTOBAL","Providencia",2,"AV.STA. MARIA 1742 INGENIERIA",394,5,75,"PR","394_PR_5",2491.3263520577,2692.8363603389,2834.02443356167,3076.27539747822,3192.68416168549,3508.57851434221,3772.56386756518
"373","SOCIEDAD CONSTRUCTORA ELECTRICA LTDA.","Santiago",1,"HUERFANOS  1178 OF 509",93,1,90,"SA","93_SA_1",2493.35362257349,2695.39554627689,2834.99940864102,3107.90052610491,3250.30431913975,3512.40170125849,3806.53220161899
"374","SODEXHO CHILE S.A.","óu“oa",5,"WILLIAMS REBOLLEDO 1799  P.2.EDIF NUEVO",94,1,160,"NU","94_NU_1",2499.20230059031,2702.20747257482,2852.7459830412,3256.10919524657,3252.43989840873,3620.33823989324,3905.75636975699
"375","SONDA S.A.","Santiago",1,"TEATINOS 500 P.8",95,1,140,"SA","95_SA_1",2499.44412250576,2708.36403122367,2915.37301863914,3295.98914486427,3284.21795000988,3645.45132546465,3918.83066249237
"376","SOUTH EXPRESS CARGO S.A.","Santiago",1,"SOTERO DEL RIO 508 OF 1027",334,4,30,"SA","334_SA_4",2511.02487576194,2735.1783369988,2943.14559143449,3345.18425128198,3375.3029865663,3665.45665478799,4070.16109195789
"377","STECK Y CIA. LTDA.","Vitacura",4,"BUENAVENTURA 1770 L.6",96,1,50,"VI","96_VI_1",2513.02541657289,2741.34844637225,2946.81049472405,3361.53716886369,3406.81266371377,3709.58992083427,4111.97425998522
"378","STUEDEMANN S.A.","Providencia",2,"CONDELL 303 STUDIO PRINT",98,1,10,"PR","98_PR_1",2529.87960168613,2749.35101622307,2954.07572013727,3362.33637946427,3428.80089369954,3736.55267001334,4128.8297907503
"379","STUEDEMANN S.A.","Providencia",2,"CONDELL 303 STUDIOPRINT",97,1,20,"PR","97_PR_1",2529.87960168613,2749.35101622307,2954.07572013727,3362.33637946427,3428.80089369954,3736.55267001334,4128.8297907503
"380","SUP.DE ADMNST.FDOS.DE PENSIONES","Santiago",1,"HUERFANOS 1273 P.14",335,4,30,"SA","335_SA_4",2529.94158983355,2766.64298189725,2963.70058708551,3363.40388714856,3547.75138542524,3746.69345945994,4156.45487217244
"381","SUPERINT DE INSTIT DE SALUD PREVISIONAL","Santiago",1,"MAC IVER 225 P 3",266,3,80,"SA","266_SA_3",2532.07962234253,2789.55204281512,2969.24098865186,3385.63321321576,3592.07862256641,3800.64778477255,4180.60514368796
"382","SUPERINTENDENCIA DE ELECTRICIDAD Y COMBU","Santiago",1,"AMUNATEGUI 58 P.5",99,1,75,"SA","99_SA_1",2554.17807220651,2793.95167547729,2997.9193934867,3386.99886811706,3606.9423617471,3913.77587731499,4206.4497172278
"383","SUPERMERCADO VESPUCIO SUR LTDA.","óu“oa",5,"A.VESPUCIO SUR 881 OF. DE COMPRAS",267,3,50,"NU","267_NU_3",2555.88923073206,2812.42097797062,3008.64138852406,3509.23108037684,3615.35759850882,3919.02379668694,4274.27802413023
"384","SUPERMERCADOS UNIMARC S.A.","Vitacura",4,"AV SANTA MARIA 6940 LIBRERIA",336,4,240,"VI","336_VI_4",2576.00975968826,2816.24531088846,3019.498205892,3541.04258820391,3657.14495951868,3964.50677848973,4304.82846973303
"385","TECNA-VAL","Providencia",2,"BARROS BORGONO 255",337,4,1,"PR","337_PR_4",2585.26252739004,2818.70416425326,3059.4181186629,3564.21030179397,3683.89351198101,4154.16796172153,4532.21449888712
"386","TRANSBANK S.A.","Santiago",1,"HUERFANOS 770 P8",395,5,90,"SA","395_SA_5",2602.42039264732,2865.1882061008,3065.6874636406,3578.16328050702,3839.89110752765,4167.78771562931,4615.69975722163
"387","TRANSBANK S.A.","Santiago",1,"HUERFANOS 770 P 11 GCIA.GRAL.",338,4,60,"SA","338_SA_4",2602.42039264732,2865.1882061008,3065.6874636406,3578.16328050702,3839.89110752765,4167.78771562931,4615.69975722163
"388","TUR BUS LTDA.","Santiago",1,"RUIZ TAGLE 220 P.1 AT CLIENTES",396,5,60,"SA","396_SA_5",2631.49693176597,2868.70608350185,3071.69688308295,3583.27386855664,3843.80194214662,4412.87997057906,4664.81936833904
"389","TUR BUS LTDA.","Santiago",1,"DOLORES 800  OPERACIONES P.2",397,5,10,"SA","397_SA_5",2631.49693176597,2868.70608350185,3071.69688308295,3583.27386855664,3843.80194214662,4412.87997057906,4664.81936833904
"390","UNIVERSIDAD CENTRAL","Santiago",1,"TOESCA 1783 METRO TOESCA P 1",268,3,90,"SA","268_SA_3",2656.57412788508,2901.45831526605,3084.67231588341,3712.82052586922,3976.26904121179,4422.03069430093,4841.60310461877
"391","UNIVERSIDAD DE CHILE","óu“oa",5,"IGNACIO CARRERA PINTO 1045 CENTRAL APUNT",398,5,150,"NU","398_NU_5",2659.74306110702,2987.14518975548,3112.60179651529,3751.85685183767,4021.47183526456,4485.87425350365,4900.7559782273
"392","UNIVERSIDAD DE CHILE","Santiago",1,"PLAZA ERCILLA 883 OF.PARTES",340,4,60,"SA","340_SA_4",2659.74306110702,2987.14518975548,3112.60179651529,3751.85685183767,4021.47183526456,4485.87425350365,4900.7559782273
"393","UNIVERSIDAD DE CHILE","Santiago",1,"DIAGONAL PARAGUAY 257-PISO 1",339,4,140,"SA","339_SA_4",2659.74306110702,2987.14518975548,3112.60179651529,3751.85685183767,4021.47183526456,4485.87425350365,4900.7559782273
"394","UNIVERSIDAD DE CHILE","Providencia",2,"PIO NONO NRO.1",189,2,80,"PR","189_PR_2",2659.74306110702,2987.14518975548,3112.60179651529,3751.85685183767,4021.47183526456,4485.87425350365,4900.7559782273
"395","UNIVERSIDAD DE LA REPUBLICA","Santiago",1,"AGUSTINAS 1831 -CENTRAL DE APUNTES",399,5,60,"SA","399_SA_5",2682.56663817833,3041.07712114219,3202.16541420557,3775.72938978103,4060.75809270798,4569.14482475677,5029.53154958989
"396","UNIVERSIDAD DE LA REPUBLICA","Santiago",1,"AGUSTINAS 1831",190,2,30,"SA","190_SA_2",2682.56663817833,3041.07712114219,3202.16541420557,3775.72938978103,4060.75809270798,4569.14482475677,5029.53154958989
"397","UNIVERSIDAD FINIS TERRAE","Providencia",2,"AV. PEDRO DE VALDIVIA 1543",100,1,60,"PR","100_PR_1",2691.56582798239,3071.2849326319,3221.5310101618,3790.44552129784,4158.45762348728,4631.14741948773,5044.32190095526
"398","UNIVERSIDAD TECNICA METROPOLITANA","Santiago",1,"VIDAURRE 1550 P/4 COMPUTACION",269,3,40,"SA","269_SA_3",2719.12655676675,3115.82067419713,3236.46368692205,3856.83289533807,4422.41479221826,4645.14443880436,5189.88775518075
"399","VM.ICA SISTEMAS Y TECNOLOGIA LTDA.","Providencia",2,"FIDEL OTEIZA 1916 OF.1001",400,5,45,"PR","400_PR_5",2744.70786817563,3211.98106877267,3344.98878848919,3884.08020434954,4436.56088381441,4761.62214592464,5266.34455649261
"400","WARNER MUSIC CHILE S.A.","Providencia",2,"AV. POCURO 2262",270,3,75,"PR","270_PR_3",2771.19609148554,3823.07232186163,3686.43928649672,4634.12992160356,4718.28891862726,7716.52118951397,7622.47741387793
