"","razonSocial","nomComuna","place","direccion","idCust","weekday","serviceTime","COD","Name","p10","p15","p20","p25","p30","p35","p40"
"344","SANTANDER GESTION DE RECAUD. Y COB. LTDA","Santiago",1,"MONEDA 856 PISO 5 OF. 502",260,3,120,"SA","260_SA_3",23679.0585453714,25172.7711646676,25989.9590756975,27467.8424687541,28053.8797808796,31259.3232342582,32719.2389801332
"345","SEC.REG.M.DE BIENES NAC.P.S.TIT.","Santiago",1,"JUAN ANTONIO RIOS 6 P.5 DECRET",261,3,90,"SA","261_SA_3",23737.9951604,25260.3300624819,26018.4992959036,27491.4901329623,28102.225350884,31569.4842889712,32876.5897765927
"346","SEC.REG.MINST.DE TRASP.Y TELECOM","Santiago",1,"AMUNATEGUI 139 PISO 9",87,1,60,"SA","87_SA_1",23833.2787708784,25357.3222324685,26048.2895076384,27641.0061629482,28136.752812703,31597.0065296235,33432.0006735552
"347","SEC.REG.MINST.DE TRASP.Y TELECOM","Santiago",1,"AMUNATEGUI 139 PISO 2 BIBLIOTECA",262,3,120,"SA","262_SA_3",23833.2787708784,25357.3222324685,26048.2895076384,27641.0061629482,28136.752812703,31597.0065296235,33432.0006735552
"348","SEGURIDAD Y  TELECOMUNICACIONES S.A.","Las Condes",3,"LAS CONDES 7300",88,1,120,"LC","88_LC_1",23842.677364175,25377.4112742066,26168.9130128826,27702.2535786299,28358.4951263036,31619.196776902,33922.8536112809
"349","SEGUROS SECURITY PREVISION GENERALES S.A","Las Condes",3,"HENDAYA 60 PISO 6 OF.601",328,4,120,"LC","328_LC_4",23871.7605898713,25411.6518020366,26257.6876569996,27711.7915074424,28634.8761357478,31690.2488540349,34062.7894866721
"350","SEGUROS SECURITY PREVISION GENERALES S.A","Las Condes",3,"HENDAYA 60 P7",329,4,90,"LC","329_LC_4",23871.7605898713,25411.6518020366,26257.6876569996,27711.7915074424,28634.8761357478,31690.2488540349,34062.7894866721
"351","SEGUROS VIDA SECURITY PREVISION S.A.","Las Condes",3,"HENDAYA 60 PISO 7 CASA MATRIZ",182,2,60,"LC","182_LC_2",23937.1718580377,25443.0763793074,26312.5835677571,27776.3985361076,29052.97428357,31902.7072198221,34247.7891540112
"352","SEGURY CORP S.A.","óu“oa",5,"SUCRE 1828",183,2,20,"NU","183_NU_2",23953.2517758838,25518.6096654804,26338.0199803822,27814.3857182845,29140.8114857079,31903.6443564701,34301.8292525944
"353","SENADO DE LA REPUBLICA","Santiago",1,"SAN MARTIN 32 P.2",263,3,60,"SA","263_SA_3",24011.7097968379,25569.7287642703,26560.5330099683,28076.1594176741,29721.1127729038,32015.8354679666,34517.5360062651
"354","SENADO DE LA REPUBLICA","Santiago",1,"SAN MARTIN 32 P.2",184,2,15,"SA","184_SA_2",24011.7097968379,25569.7287642703,26560.5330099683,28076.1594176741,29721.1127729038,32015.8354679666,34517.5360062651
"355","SER.DE RG.CIVIL E IDENTIFICACION","Santiago",1,"CATEDRAL 1772 PISO 6 PRESUPUESTO",185,2,35,"SA","185_SA_2",24022.7980549754,25590.5822977772,26796.2882376875,28345.8568744529,30152.6516591929,32258.0678260206,34696.0435427452
"356","SER.DE RG.CIVIL E IDENTIFICACION","Santiago",1,"CATEDRAL 1772 P.4",331,4,160,"SA","331_SA_4",24022.7980549754,25590.5822977772,26796.2882376875,28345.8568744529,30152.6516591929,32258.0678260206,34696.0435427452
"357","SER.DE RG.CIVIL E IDENTIFICACION","Santiago",1,"HUERFANOS 1570 P3 DIR REGIONAL",330,4,120,"SA","330_SA_4",24022.7980549754,25590.5822977772,26796.2882376875,28345.8568744529,30152.6516591929,32258.0678260206,34696.0435427452
"358","SERV. INTEGRALES DE COMERCIO EXTERIOR LT","Santiago",1,"MONJITAS 392 P 11 OF 1103",264,3,65,"SA","264_SA_3",24103.8365101016,25652.1546047075,26893.1350444116,28462.9593288548,30330.4776094789,32377.40547572,34967.9265043514
"359","SERV.DE CORRESPONDENCIA ENVIA LTDA","Providencia",2,"CALLE BARROS ERRAZURIZ 1954 OF.1602",186,2,120,"PR","186_PR_2",24111.667497918,25685.2550234053,26897.1775601966,28605.2329247306,30336.8169120376,32709.557695493,34996.3017712686
"360","SERVICIO DE IMPUESTOS INTERNOS","Santiago",1,"TEATINOS 120 SUBTERRANEO",187,2,210,"SA","187_SA_2",24171.7937654995,25836.4582238348,27237.0511239923,28787.2646732415,30361.7271918866,33180.1092746618,35005.5267126203
"361","SERVICIOS DE ADMIN. PREVISIONALES S.A.","Providencia",2,"MARCHANT PEREIRA 10  P.16",89,1,70,"PR","89_PR_1",24257.6874709877,26037.9558949756,27290.5106150776,28906.277967594,30536.445693987,33235.8625436604,35219.2717336771
"362","SERVICIOS DE CONTROL DE CREDITOS S.A.","Santiago",1,"MONJITAS 550 P2 OF 7",90,1,90,"SA","90_SA_1",24263.9029417816,26281.8488391384,27350.5338477448,28932.743958361,31079.8632619587,33837.5884068229,35386.662406443
"363","SERVICIOS DE INGENIERIA LTDA.","Las Condes",3,"AV VITACURA  2771 OF 1101 B",391,5,75,"LC","391_LC_5",24296.9698706942,26305.9102894125,27358.600154688,29111.0035397506,31117.168791059,33956.9101782419,36263.0236918168
"364","SERVICIOS GENERALES LTDA.","Providencia",2,"AV. RICARDO LYON 1177 CENTRAL",393,5,150,"PR","393_PR_5",24300.6236432253,26345.4072763994,27404.6745811569,29264.2197415147,31130.4029449895,34220.9151435449,36310.2220251458
"365","SERVICIOS GENERALES LTDA.","Providencia",2,"LADISLAO ERRAZURIZ 2121",91,1,120,"PR","91_PR_1",24300.6236432253,26345.4072763994,27404.6745811569,29264.2197415147,31130.4029449895,34220.9151435449,36310.2220251458
"366","SERVICIOS GENERALES LTDA.","Providencia",2,"AV. RICARDO LYON 1177 CENTRO D.",392,5,35,"PR","392_PR_5",24300.6236432253,26345.4072763994,27404.6745811569,29264.2197415147,31130.4029449895,34220.9151435449,36310.2220251458
"367","SERVICIOS GRAFICOS JCV S.A.","Vitacura",4,"VITACURA 2653 B",188,2,100,"VI","188_VI_2",24373.1007351082,26346.4122762112,27430.7190353245,29762.5702682871,31385.3137243348,34238.5369725086,36506.610956933
"368","SHELL CHILE S.A.C.E.I.","Providencia",2,"CARLOS ANTUNEZ 2490",332,4,120,"PR","332_PR_4",24373.199671583,26452.2814996874,27911.5560643525,30258.3734208206,31391.2777254298,34387.5659847405,36546.8259296009
"369","SIEMENS S.A.","Providencia",2,"AV HOLANDA 64",265,3,100,"PR","265_PR_3",24704.791117871,26505.666863874,27917.3499044172,30516.4022157701,31541.2473478673,34547.6479780372,36758.7611830176
"370","SOC FORESTAL LOS ESTEROS LTDA","Santiago",1,"COMPANIA 1068  OF 607",92,1,60,"SA","92_SA_1",24743.4614393456,26787.992619614,27995.5180768711,30607.8519264062,31570.9235674461,34966.7138033122,36924.8708917391
"371","SOC.AGRIC.ABOUGHAZALEH HNOS.LTDA.","Vitacura",4,"AV LUIS  PASTEUR  5842  OF. 400",333,4,90,"VI","333_VI_4",24926.2518321423,26815.1325679282,28117.2455615472,30642.5967283041,31692.4683278067,35029.9111736172,36970.6369425269
"372","SOC.INMOBILIARIA SAN CRISTOBAL","Providencia",2,"AV.STA. MARIA 1742 INGENIERIA",394,5,75,"PR","394_PR_5",24928.1000904057,26944.4002236673,28357.1217717543,30781.0740855574,31945.8549755289,35106.6797444383,37748.1053858875
"373","SOCIEDAD CONSTRUCTORA ELECTRICA LTDA.","Santiago",1,"HUERFANOS  1178 OF 509",93,1,90,"SA","93_SA_1",24948.3848685465,26970.0073237405,28366.8773288067,31097.5137086228,32522.399694794,35144.9343817862,38087.9910176909
"374","SODEXHO CHILE S.A.","óu“oa",5,"WILLIAMS REBOLLEDO 1799  P.2.EDIF NUEVO",94,1,160,"NU","94_NU_1",25006.9064792859,27038.1671537135,28544.4487587978,32580.4830255803,32543.7682054767,36224.942561476,39080.8236077241
"375","SONDA S.A.","Santiago",1,"TEATINOS 500 P.8",95,1,140,"SA","95_SA_1",25009.3261385599,27099.7694042914,29171.0920769088,32979.5200184052,32861.7379689874,36476.2229728866,39211.644396277
"376","SOUTH EXPRESS CARGO S.A.","Santiago",1,"SOTERO DEL RIO 508 OF 1027",334,4,30,"SA","334_SA_4",25125.2026378608,27368.0721489981,29448.9831985753,33471.7640536861,33773.1307723194,36676.3954036489,40725.8499074598
"377","STECK Y CIA. LTDA.","Vitacura",4,"BUENAVENTURA 1770 L.6",96,1,50,"VI","96_VI_1",25145.2199597701,27429.8099875206,29485.6540570313,33635.3906158627,34088.4151930455,37117.9908904905,41144.2305972564
"378","STUEDEMANN S.A.","Providencia",2,"CONDELL 303 STUDIO PRINT",98,1,10,"PR","98_PR_1",25313.8621824552,27509.8833436495,29558.3495776845,33643.387481399,34308.4284391798,37387.7789532601,41312.8862844736
"379","STUEDEMANN S.A.","Providencia",2,"CONDELL 303 STUDIOPRINT",97,1,20,"PR","97_PR_1",25313.8621824552,27509.8833436495,29558.3495776845,33643.387481399,34308.4284391798,37387.7789532601,41312.8862844736
"380","SUP.DE ADMNST.FDOS.DE PENSIONES","Santiago",1,"HUERFANOS 1273 P.14",335,4,30,"SA","335_SA_4",25314.4824330868,27682.9059790541,29654.6555660367,33654.0689155593,35498.641741059,37489.2472390636,41589.3016140542
"381","SUPERINT DE INSTIT DE SALUD PREVISIONAL","Santiago",1,"MAC IVER 225 P 3",266,3,80,"SA","266_SA_3",25335.8754907792,27912.1330183241,29710.0925763958,33876.4945583048,35942.1780940035,38029.1118058203,41830.9481510693
"382","SUPERINTENDENCIA DE ELECTRICIDAD Y COMBU","Santiago",1,"AMUNATEGUI 58 P.5",99,1,75,"SA","99_SA_1",25556.991592087,27956.1555460324,29997.0474129493,33890.1592401882,36090.9040036813,39161.0664417937,42089.5477983868
"383","SUPERMERCADO VESPUCIO SUR LTDA.","óu“oa",5,"A.VESPUCIO SUR 881 OF. DE COMPRAS",267,3,50,"NU","267_NU_3",25574.113367787,28140.9585610101,30104.331215908,35113.2092910043,36175.1064864701,39213.5768883928,42768.2348046194
"384","SUPERMERCADOS UNIMARC S.A.","Vitacura",4,"AV SANTA MARIA 6940 LIBRERIA",336,4,240,"VI","336_VI_4",25775.4384809251,28179.2246651984,30212.9640450786,35431.5138160157,36593.2289524037,39668.6775707476,43073.9211973974
"385","TECNA-VAL","Providencia",2,"BARROS BORGONO 255",337,4,1,"PR","337_PR_4",25868.0212608538,28203.8278420302,30612.4009074276,35663.3289223592,36860.8737724024,41566.4188903311,45349.1356385851
"386","TRANSBANK S.A.","Santiago",1,"HUERFANOS 770 P8",395,5,90,"SA","395_SA_5",26039.7020934826,28668.945086435,30675.1316929694,35802.9418035183,38421.7787387218,41702.6975389872,46184.4854008179
"387","TRANSBANK S.A.","Santiago",1,"HUERFANOS 770 P 11 GCIA.GRAL.",338,4,60,"SA","338_SA_4",26039.7020934826,28668.945086435,30675.1316929694,35802.9418035183,38421.7787387218,41702.6975389872,46184.4854008179
"388","TUR BUS LTDA.","Santiago",1,"RUIZ TAGLE 220 P.1 AT CLIENTES",396,5,60,"SA","396_SA_5",26330.6406438791,28704.1448104241,30735.2616752257,35854.0781190461,38460.9103750642,44155.0796838332,46675.9740334996
"389","TUR BUS LTDA.","Santiago",1,"DOLORES 800  OPERACIONES P.2",397,5,10,"SA","397_SA_5",26330.6406438791,28704.1448104241,30735.2616752257,35854.0781190461,38460.9103750642,44155.0796838332,46675.9740334996
"390","UNIVERSIDAD CENTRAL","Santiago",1,"TOESCA 1783 METRO TOESCA P 1",268,3,90,"SA","268_SA_3",26581.5619470345,29031.8621770902,30865.0932756899,37150.3161800285,39786.3702456487,44246.6414162614,48444.8641946369
"391","UNIVERSIDAD DE CHILE","óu“oa",5,"IGNACIO CARRERA PINTO 1045 CENTRAL APUNT",398,5,150,"NU","398_NU_5",26613.2701511689,29889.241212134,31144.5544101532,37540.9119123376,40238.6673819042,44885.4572151706,49036.7452032131
"392","UNIVERSIDAD DE CHILE","Santiago",1,"PLAZA ERCILLA 883 OF.PARTES",340,4,60,"SA","340_SA_4",26613.2701511689,29889.241212134,31144.5544101532,37540.9119123376,40238.6673819042,44885.4572151706,49036.7452032131
"393","UNIVERSIDAD DE CHILE","Santiago",1,"DIAGONAL PARAGUAY 257-PISO 1",339,4,140,"SA","339_SA_4",26613.2701511689,29889.241212134,31144.5544101532,37540.9119123376,40238.6673819042,44885.4572151706,49036.7452032131
"394","UNIVERSIDAD DE CHILE","Providencia",2,"PIO NONO NRO.1",189,2,80,"PR","189_PR_2",26613.2701511689,29889.241212134,31144.5544101532,37540.9119123376,40238.6673819042,44885.4572151706,49036.7452032131
"395","UNIVERSIDAD DE LA REPUBLICA","Santiago",1,"AGUSTINAS 1831 -CENTRAL DE APUNTES",399,5,60,"SA","399_SA_5",26841.6418428923,30428.8817062694,32040.7239643339,37779.7794596475,40631.7639173773,45718.6588280659,50325.2678126555
"396","UNIVERSIDAD DE LA REPUBLICA","Santiago",1,"AGUSTINAS 1831",190,2,30,"SA","190_SA_2",26841.6418428923,30428.8817062694,32040.7239643339,37779.7794596475,40631.7639173773,45718.6588280659,50325.2678126555
"397","UNIVERSIDAD FINIS TERRAE","Providencia",2,"AV. PEDRO DE VALDIVIA 1543",100,1,60,"PR","100_PR_1",26931.6873337142,30731.139717431,32234.4952516277,37927.02841364,41609.3410541665,46339.0540187809,50473.2594071345
"398","UNIVERSIDAD TECNICA METROPOLITANA","Santiago",1,"VIDAURRE 1550 P/4 COMPUTACION",269,3,40,"SA","269_SA_3",27207.4587536783,31176.7623563203,32383.9109476443,38591.2975100782,44250.4846828491,46479.1075682502,51929.784836202
"399","VM.ICA SISTEMAS Y TECNOLOGIA LTDA.","Providencia",2,"FIDEL OTEIZA 1916 OF.1001",400,5,45,"PR","400_PR_5",27463.424211884,32138.9389650702,33469.8082617206,38863.932865808,44392.0298428821,47644.578297927,52694.8081717118
"400","WARNER MUSIC CHILE S.A.","Providencia",2,"AV. POCURO 2262",270,3,75,"PR","270_PR_3",27728.4641900229,38253.4907213228,36886.3466783839,46368.896801603,47210.9879630367,77211.1660132617,76270.1681989854
